epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,211.982,1.01369,2.60928,2.05264,1.08682,0,0.50808,0.30902,0.23216,0.14144,0.48068,0.28445,0.21017,0.11697,0.9002,2.38422,1.44741,1.04998,0,0.000253938,0.000253938,0.000253938
2,357.459,0.94273,2.20546,1.35159,1.02181,0,0.3267,0.33873,0.23731,0.14412,0.31276,0.29251,0.22107,0.12419,0.96641,2.51751,1.36196,1.07418,0,0.000506061,0.000506061,0.000506061
3,501.596,0.96394,2.16267,1.27525,1.02717,0,0.5053,0.32296,0.29012,0.17948,0.54952,0.30721,0.27515,0.15517,0.94081,2.41857,1.23715,1.05494,0,0.000753955,0.000753955,0.000753955
4,642.959,0.94168,2.0982,1.19151,1.01584,0,0.39533,0.35778,0.3163,0.18914,0.37135,0.34242,0.29155,0.15871,0.91797,2.37769,1.35706,1.04939,0,0.000749967,0.000749967,0.000749967
5,784.24,0.89895,1.98411,1.13147,0.99515,0,0.39694,0.37979,0.31445,0.19146,0.40367,0.3674,0.30848,0.16501,0.90391,2.23547,1.20379,1.04412,0,0.000743623,0.000743623,0.000743623
6,928.575,0.90072,1.95545,1.09235,0.9943,0,0.5382,0.36904,0.34309,0.20909,0.54427,0.35852,0.33634,0.18639,0.91397,2.23724,1.12282,1.04246,0,0.000737279,0.000737279,0.000737279
7,1070.71,0.89075,1.88365,1.03346,0.98736,0,0.57439,0.34797,0.35154,0.219,0.53419,0.35374,0.33855,0.18893,0.92775,2.27859,1.1388,1.0545,0,0.000730935,0.000730935,0.000730935
8,1212.84,0.87842,1.85511,1.01017,0.98276,0,0.54341,0.39135,0.35192,0.21613,0.53118,0.36159,0.33156,0.19208,0.90152,2.13936,1.15275,1.04164,0,0.00072459,0.00072459,0.00072459
9,1353.63,0.86957,1.82808,0.97319,0.97892,0,0.51343,0.41081,0.36997,0.2308,0.51402,0.39204,0.35392,0.19999,0.89498,2.22492,1.06254,1.03181,0,0.000718246,0.000718246,0.000718246
10,1496.86,0.86281,1.78071,0.93879,0.97458,0,0.46806,0.37289,0.35534,0.21808,0.47839,0.37607,0.35528,0.19713,0.92109,2.23396,1.07817,1.04335,0,0.000711902,0.000711902,0.000711902
