epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,152.519,0.70144,2.54847,2.14994,1.06951,0,0.51044,0.31475,0.19607,0.12195,0.50082,0.27613,0.17996,0.10244,0.66686,2.45682,1.50783,1.04666,0,0.000253047,0.000253047,0.000253047
2,244.579,0.65244,2.18531,1.39683,1.01725,0,0.4605,0.32381,0.25681,0.15104,0.63484,0.25188,0.24342,0.13055,0.68369,2.45022,1.37756,1.04457,0,0.000505178,0.000505178,0.000505178
3,335.092,0.66901,2.14836,1.33654,1.023,0,0.4162,0.30643,0.23457,0.13907,0.4386,0.30302,0.21759,0.1175,0.68519,2.48377,1.30125,1.05319,0,0.000753079,0.000753079,0.000753079
4,423.107,0.66093,2.14223,1.25008,1.01462,0,0.56494,0.32616,0.25608,0.14821,0.54737,0.33286,0.23931,0.12793,0.6937,2.37794,1.43701,1.05042,0,0.000749967,0.000749967,0.000749967
5,513.597,0.63269,2.01909,1.18701,0.99889,0,0.40649,0.2897,0.28944,0.18114,0.48749,0.28424,0.28391,0.15786,0.69117,2.35583,1.21487,1.05684,0,0.000743623,0.000743623,0.000743623
6,600.828,0.63809,1.98772,1.16943,0.99988,0,0.71035,0.23175,0.29437,0.18695,0.71974,0.23379,0.29308,0.16729,0.6557,2.24061,1.25889,1.03622,0,0.000737279,0.000737279,0.000737279
7,690.61,0.63271,1.94864,1.13224,0.99714,0,0.5272,0.30688,0.32114,0.20039,0.52745,0.30664,0.31233,0.18027,0.66158,2.20871,1.22448,1.03296,0,0.000730935,0.000730935,0.000730935
8,775.207,0.62024,1.93853,1.09662,0.98701,0,0.51959,0.34855,0.29491,0.17802,0.51526,0.33057,0.28767,0.15015,0.66663,2.21119,1.2375,1.04215,0,0.00072459,0.00072459,0.00072459
9,866.686,0.62964,1.91869,1.07548,1.00029,0,0.60031,0.35961,0.36556,0.22723,0.596,0.35467,0.34761,0.20229,0.66768,2.17815,1.16497,1.02898,0,0.000718246,0.000718246,0.000718246
10,956.972,0.61645,1.8866,1.0444,0.98652,0,0.5093,0.36929,0.32269,0.20737,0.50986,0.3524,0.31725,0.18256,0.65875,2.19079,1.12203,1.03425,0,0.000711902,0.000711902,0.000711902
11,1046.49,0.61546,1.87098,1.01798,0.98457,0,0.51986,0.38329,0.33592,0.21137,0.50547,0.37667,0.32398,0.187,0.67323,2.14247,1.15133,1.03292,0,0.000705558,0.000705558,0.000705558
12,1141.12,0.60625,1.8227,1.00817,0.97961,0,0.57287,0.37914,0.36139,0.22348,0.54532,0.37055,0.34738,0.19696,0.66345,2.14659,1.06607,1.02559,0,0.000699213,0.000699213,0.000699213
13,1228.49,0.60064,1.80671,0.96988,0.97646,0,0.47847,0.41542,0.38139,0.23703,0.46833,0.40513,0.37048,0.21685,0.6561,2.17198,1.07151,1.02306,0,0.000692869,0.000692869,0.000692869
14,1322.96,0.58908,1.78512,0.97951,0.97128,0,0.59211,0.38112,0.37976,0.24381,0.59663,0.38437,0.3843,0.21875,0.63183,2.12457,1.06884,1.01671,0,0.000686525,0.000686525,0.000686525
15,1409.35,0.59551,1.80485,0.98229,0.97494,0,0.3444,0.43437,0.36835,0.23219,0.34352,0.42335,0.36112,0.19988,0.66707,2.25066,1.09898,1.04226,0,0.000680181,0.000680181,0.000680181
16,1502.09,0.58908,1.75947,0.97148,0.96957,0,0.44375,0.38679,0.37925,0.23343,0.59846,0.36376,0.36566,0.2023,0.64975,2.17252,1.10776,1.02623,0,0.000673836,0.000673836,0.000673836
17,1590.89,0.58561,1.71466,0.93296,0.96539,0,0.47596,0.39686,0.38019,0.23681,0.47894,0.38187,0.3711,0.2111,0.64094,2.1051,1.06899,1.01752,0,0.000667492,0.000667492,0.000667492
18,1681.09,0.57923,1.70125,0.91075,0.9621,0,0.56315,0.39802,0.37101,0.23296,0.55244,0.40341,0.36578,0.20747,0.62905,2.14424,1.05917,1.01991,0,0.000661148,0.000661148,0.000661148
19,1774.25,0.57856,1.71229,0.91498,0.96333,0,0.43,0.39417,0.37784,0.24441,0.41785,0.40175,0.37106,0.21598,0.62407,2.0998,1.03751,1.00741,0,0.000654804,0.000654804,0.000654804
20,1862.74,0.5757,1.68453,0.9086,0.96199,0,0.60932,0.38815,0.39409,0.25036,0.61544,0.38642,0.3863,0.22633,0.64596,2.09763,1.07017,1.01654,0,0.000648459,0.000648459,0.000648459
21,1955.08,0.57833,1.66995,0.88302,0.96068,0,0.54359,0.34387,0.39051,0.2421,0.5041,0.37234,0.38453,0.21962,0.65605,2.16111,1.04077,1.03165,0,0.000642115,0.000642115,0.000642115
22,2042.54,0.57222,1.67587,0.87855,0.95564,0,0.44817,0.37567,0.40596,0.25063,0.42635,0.3693,0.38851,0.22234,0.63526,2.10958,1.05009,1.01089,0,0.000635771,0.000635771,0.000635771
23,2134.64,0.56804,1.68031,0.87894,0.95499,0,0.35898,0.42819,0.40009,0.26241,0.35312,0.42835,0.38575,0.23515,0.62321,2.08372,1.05094,1.00352,0,0.000629427,0.000629427,0.000629427
24,2222.84,0.56884,1.63277,0.85502,0.95684,0,0.59241,0.39632,0.39808,0.25208,0.58836,0.40118,0.39495,0.22573,0.63235,2.1332,1.06836,1.00985,0,0.000623082,0.000623082,0.000623082
25,2314.51,0.55942,1.59409,0.8579,0.94864,0,0.6545,0.3891,0.41659,0.26092,0.63398,0.38309,0.39857,0.23373,0.63662,2.09748,1.00013,1.01441,0,0.000616738,0.000616738,0.000616738
26,2404.18,0.56915,1.63547,0.85736,0.95543,0,0.58439,0.41176,0.41111,0.2579,0.59357,0.41184,0.40823,0.23324,0.64033,2.17662,1.02589,1.017,0,0.000610394,0.000610394,0.000610394
