epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,152.851,1.1483,2.77573,2.92601,1.08861,0,0.75311,0.07708,0.07298,0.05804,0.74309,0.07268,0.06942,0.04864,1.1204,2.82225,2.52356,1.05172,0,0.000253047,0.000253047,0.000253047
2,262.036,1.03386,2.3901,1.76183,1.01831,0,0.69821,0.1749,0.14755,0.09774,0.70015,0.15971,0.13507,0.0773,1.03764,2.66788,1.62087,1.05642,0,0.000504337,0.000504337,0.000504337
3,374.447,1.00756,2.28944,1.59598,1.00779,0,0.51185,0.20365,0.19261,0.11637,0.4999,0.19467,0.17845,0.09187,0.99943,2.56099,1.41892,1.03468,0,0.000750553,0.000750553,0.000750553
4,488.467,0.97984,2.22262,1.48966,0.99546,0,0.59062,0.25061,0.22011,0.13133,0.57982,0.24091,0.21182,0.10906,1.01754,2.36866,1.36985,1.03881,0,0.000746161,0.000746161,0.000746161
5,602.549,0.95335,2.15708,1.43084,0.99311,0,0.5744,0.28815,0.24007,0.13846,0.56019,0.27316,0.21755,0.11731,0.96916,2.40213,1.3347,1.01245,0,0.000738548,0.000738548,0.000738548
6,716.914,0.95774,2.12293,1.38481,0.98605,0,0.29361,0.33979,0.25063,0.14948,0.2662,0.33948,0.24223,0.1306,0.98336,2.36699,1.56967,1.03897,0,0.000730935,0.000730935,0.000730935
7,831.012,0.94865,2.11981,1.35765,0.99517,0,0.32007,0.29371,0.25535,0.14976,0.31261,0.27908,0.23129,0.12532,0.93889,2.41233,1.23885,1.02376,0,0.000723321,0.000723321,0.000723321
8,943.956,0.9269,2.04406,1.28668,0.98129,0,0.40654,0.36592,0.30406,0.18307,0.44378,0.33516,0.29447,0.15707,0.9536,2.23996,1.2482,1.01572,0,0.000715708,0.000715708,0.000715708
9,1056.68,0.92921,2.01511,1.25653,0.98165,0,0.43917,0.30472,0.28366,0.17323,0.42399,0.32316,0.28126,0.15467,0.92025,2.22603,1.24738,0.99447,0,0.000708095,0.000708095,0.000708095
10,1171.35,0.90073,2.02728,1.20405,0.97011,0,0.49974,0.33254,0.2968,0.18129,0.47802,0.31478,0.27164,0.15193,0.92113,2.34241,1.23248,1.00329,0,0.000700482,0.000700482,0.000700482
11,1285.49,0.90903,1.98652,1.19622,0.97255,0,0.58483,0.32514,0.31166,0.19198,0.60571,0.32656,0.30795,0.17172,0.94065,2.23864,1.19144,1.00464,0,0.000692869,0.000692869,0.000692869
12,1401.93,0.89328,1.9866,1.18969,0.96775,0,0.50212,0.35405,0.30302,0.18886,0.49148,0.34097,0.31024,0.17583,0.92424,2.27924,1.2466,0.99768,0,0.000685256,0.000685256,0.000685256
13,1515.75,0.90271,1.98146,1.15378,0.96889,0,0.65696,0.33626,0.31951,0.18601,0.64303,0.33088,0.30305,0.16371,0.9366,2.17591,1.11974,1.00788,0,0.000677643,0.000677643,0.000677643
14,1628.8,0.88707,1.92148,1.12345,0.96305,0,0.54431,0.36887,0.32597,0.19405,0.53793,0.34035,0.30965,0.17068,0.94575,2.18993,1.14955,0.99983,0,0.00067003,0.00067003,0.00067003
15,1742.27,0.87578,1.90701,1.10862,0.95812,0,0.57434,0.34571,0.3199,0.19715,0.56423,0.33874,0.31186,0.1759,0.9199,2.21654,1.23879,0.99444,0,0.000662417,0.000662417,0.000662417
16,1855.42,0.87016,1.87216,1.07944,0.95702,0,0.55604,0.32799,0.32524,0.19749,0.53869,0.31738,0.30749,0.17085,0.9136,2.20915,1.15822,0.9939,0,0.000654804,0.000654804,0.000654804
17,1968.13,0.87185,1.84824,1.08287,0.95514,0,0.55912,0.36574,0.33406,0.19619,0.54266,0.33623,0.31161,0.1703,0.91324,2.17904,1.19884,0.99048,0,0.00064719,0.00064719,0.00064719
18,2081.9,0.8749,1.88366,1.07139,0.95835,0,0.53346,0.33581,0.3209,0.20182,0.53181,0.32852,0.30375,0.17197,0.8966,2.37148,1.22869,0.98855,0,0.000639577,0.000639577,0.000639577
19,2178.9,0.86931,1.87053,1.06762,0.9528,0,0.52085,0.38338,0.34276,0.20606,0.52773,0.34027,0.31771,0.18068,0.9189,2.17803,1.25058,0.99412,0,0.000631964,0.000631964,0.000631964
20,2294.07,0.87777,1.87749,1.03894,0.95603,0,0.59526,0.36835,0.35623,0.21618,0.56784,0.34562,0.33748,0.18785,0.92089,2.24102,1.12614,0.99747,0,0.000624351,0.000624351,0.000624351
21,2407.07,0.86797,1.81251,1.02105,0.95171,0,0.62001,0.36993,0.36075,0.21653,0.59335,0.3529,0.33989,0.18932,0.91945,2.18531,1.11824,0.9942,0,0.000616738,0.000616738,0.000616738
22,2520.71,0.8587,1.81219,1.0155,0.95445,0,0.47856,0.35551,0.33445,0.20159,0.44191,0.33489,0.31469,0.1716,0.96134,2.21886,1.15577,1.00645,0,0.000609125,0.000609125,0.000609125
23,2634.28,0.87092,1.83435,1.0193,0.95862,0,0.57545,0.32945,0.33877,0.21239,0.56015,0.32261,0.32869,0.18472,0.92959,2.20231,1.13478,1.01384,0,0.000601512,0.000601512,0.000601512
24,2746.99,0.84443,1.79047,0.97872,0.94872,0,0.43376,0.36082,0.34385,0.20875,0.41022,0.36134,0.3204,0.18128,0.90664,2.17098,1.11884,0.99481,0,0.000593899,0.000593899,0.000593899
25,2860.01,0.84181,1.75672,0.968,0.9478,0,0.55796,0.35339,0.33199,0.20454,0.53189,0.35756,0.31424,0.17664,0.92834,2.19551,1.12891,0.99829,0,0.000586286,0.000586286,0.000586286
26,2970.92,0.84013,1.75138,0.98808,0.94473,0,0.53795,0.40916,0.34386,0.21209,0.51332,0.38432,0.3266,0.18457,0.90547,2.16431,1.10521,0.99189,0,0.000578672,0.000578672,0.000578672
27,3082.38,0.84654,1.74257,0.94767,0.94576,0,0.57697,0.38572,0.37053,0.22681,0.56408,0.37978,0.35888,0.1975,0.93528,2.16158,1.11677,0.99857,0,0.000571059,0.000571059,0.000571059
28,3194.59,0.83056,1.73762,0.94231,0.93729,0,0.55253,0.38375,0.34825,0.21439,0.51052,0.37289,0.33473,0.19117,0.89773,2.25503,1.12979,0.99119,0,0.000563446,0.000563446,0.000563446
29,3305.96,0.84343,1.74007,0.93966,0.94086,0,0.41631,0.39458,0.34231,0.21081,0.53503,0.37146,0.33383,0.18796,0.91619,2.24731,1.16843,0.99604,0,0.000555833,0.000555833,0.000555833
30,3417.87,0.83692,1.72834,0.92716,0.94086,0,0.58511,0.33777,0.34496,0.2124,0.58317,0.33347,0.3282,0.18017,0.93097,2.1828,1.14274,1.00687,0,0.00054822,0.00054822,0.00054822
31,3530.51,0.83551,1.71053,0.92133,0.93895,0,0.57257,0.37653,0.35276,0.21636,0.54883,0.35321,0.332,0.19323,0.91413,2.19781,1.10821,0.99824,0,0.000540607,0.000540607,0.000540607
32,3641.68,0.82231,1.69461,0.90908,0.93644,0,0.47575,0.36542,0.35393,0.20848,0.49022,0.35048,0.34341,0.1776,0.91425,2.22001,1.14549,1.00231,0,0.000532994,0.000532994,0.000532994
33,3753.91,0.82365,1.67948,0.90366,0.93628,0,0.58099,0.37533,0.3528,0.21463,0.55661,0.36285,0.33219,0.18571,0.90997,2.19838,1.11236,0.99534,0,0.000525381,0.000525381,0.000525381
34,3866.52,0.8244,1.68068,0.88578,0.93973,0,0.60396,0.34882,0.36327,0.22274,0.59181,0.34058,0.35089,0.19534,0.92296,2.17947,1.09581,1.00143,0,0.000517768,0.000517768,0.000517768
35,3978.27,0.82542,1.67345,0.87578,0.93528,0,0.56358,0.38094,0.34301,0.20698,0.55338,0.36608,0.32396,0.17566,0.92355,2.22572,1.14165,1.00227,0,0.000510155,0.000510155,0.000510155
36,4090.22,0.82034,1.67618,0.88957,0.93397,0,0.55998,0.36743,0.35103,0.20937,0.54114,0.35014,0.32644,0.18311,0.92993,2.27162,1.17055,1.00394,0,0.000502541,0.000502541,0.000502541
37,4202.21,0.82814,1.68158,0.88511,0.93587,0,0.4657,0.36882,0.34479,0.21395,0.47028,0.36337,0.333,0.19008,0.91153,2.26948,1.13289,1.00386,0,0.000494928,0.000494928,0.000494928
