epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6143.23,0.67434,1.20937,0.51604,0.89404,0,0.35942,0.41083,0.38952,0.235,0.51612,0.3555,0.3783,0.21435,0.93882,2.34624,1.20826,1.07865,0,0.000597705,0.000597705,0.000597705
29,6362.91,0.67047,1.19382,0.51439,0.89157,0,0.52622,0.36982,0.38141,0.23581,0.5519,0.37153,0.37044,0.21102,0.95439,2.41591,1.14961,1.09429,0,0.000591361,0.000591361,0.000591361
30,6579.2,0.65123,1.16636,0.49151,0.88778,0,0.41214,0.41981,0.40632,0.24951,0.39796,0.407,0.38818,0.22561,0.9759,2.38882,1.14108,1.13457,0,0.000585017,0.000585017,0.000585017
31,6806.52,0.65365,1.16908,0.50058,0.88568,0,0.39686,0.393,0.38937,0.24587,0.39752,0.39477,0.3789,0.22575,0.92626,2.39381,1.1512,1.09094,0,0.000578672,0.000578672,0.000578672
32,7034.49,0.64422,1.15469,0.48494,0.88375,0,0.55974,0.38376,0.39856,0.25365,0.40586,0.40498,0.38894,0.232,0.9238,2.30721,1.12416,1.08105,0,0.000572328,0.000572328,0.000572328
33,7269.19,0.64021,1.1485,0.47592,0.87613,0,0.53136,0.38458,0.37996,0.2319,0.55138,0.33315,0.35077,0.20966,0.92679,2.37236,1.16384,1.08871,0,0.000565984,0.000565984,0.000565984
34,7495.63,0.63877,1.13985,0.46902,0.87776,0,0.55593,0.36966,0.38519,0.23835,0.40202,0.3972,0.38365,0.21869,0.93759,2.35399,1.21648,1.09906,0,0.00055964,0.00055964,0.00055964
35,7725.71,0.62365,1.10953,0.45779,0.87417,0,0.39961,0.39718,0.38603,0.24008,0.42071,0.37074,0.36843,0.21253,0.93333,2.32821,1.22142,1.10099,0,0.000553296,0.000553296,0.000553296
36,7959.32,0.61911,1.10611,0.45164,0.87243,0,0.68154,0.36682,0.38482,0.23961,0.69953,0.36547,0.37919,0.21965,0.94982,2.41914,1.20215,1.12155,0,0.000546951,0.000546951,0.000546951
37,8188.58,0.60398,1.07956,0.44293,0.86733,0,0.40485,0.44221,0.38503,0.2355,0.36877,0.40238,0.35997,0.21359,0.94685,2.48029,1.18889,1.09869,0,0.000540607,0.000540607,0.000540607
38,8413.91,0.61153,1.09319,0.44018,0.86751,0,0.51632,0.3808,0.36844,0.23385,0.50787,0.39218,0.36206,0.21424,0.927,2.41584,1.2003,1.07703,0,0.000534263,0.000534263,0.000534263
