epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,135.423,0.94969,2.57674,2.34562,1.08246,0,0.40022,0.27411,0.17559,0.10986,0.36822,0.24149,0.15896,0.09206,0.94358,2.55978,1.66713,1.05462,0,0.000253047,0.000253047,0.000253047
2,219.82,0.88957,2.1739,1.47084,1.02919,0,0.57958,0.22602,0.22338,0.13473,0.59904,0.1928,0.20413,0.11214,0.93289,2.45202,1.45644,1.06075,0,0.000505178,0.000505178,0.000505178
3,305.259,0.88804,2.11578,1.35735,1.02121,0,0.49434,0.31394,0.26849,0.15974,0.45667,0.306,0.25096,0.14051,0.95036,2.41758,1.55139,1.06436,0,0.000753079,0.000753079,0.000753079
4,389.581,0.87567,2.05936,1.26552,1.01079,0,0.44195,0.31852,0.24744,0.15611,0.43969,0.31873,0.2333,0.1327,0.95362,2.45372,1.42523,1.0622,0,0.000749967,0.000749967,0.000749967
5,473.895,0.88405,1.99251,1.24303,1.01439,0,0.50209,0.36152,0.29964,0.18161,0.48678,0.35457,0.28333,0.15557,0.97419,2.33033,1.27529,1.06129,0,0.000743623,0.000743623,0.000743623
6,560.659,0.86426,1.9309,1.181,1.00483,0,0.39737,0.33846,0.29923,0.18807,0.38724,0.33673,0.28756,0.16813,0.94217,2.26351,1.22116,1.05536,0,0.000737279,0.000737279,0.000737279
7,646.386,0.85192,1.91251,1.13036,0.99723,0,0.51286,0.39456,0.31702,0.19979,0.51508,0.37222,0.30485,0.17113,0.9298,2.26818,1.23376,1.03662,0,0.000730935,0.000730935,0.000730935
8,729.742,0.83698,1.84555,1.08398,0.98536,0,0.37311,0.43071,0.29835,0.17897,0.36976,0.42715,0.29218,0.1578,0.94194,2.20042,1.31939,1.0501,0,0.00072459,0.00072459,0.00072459
9,815.527,0.82312,1.80795,1.05912,0.98109,0,0.65058,0.301,0.33997,0.21295,0.64265,0.30469,0.324,0.19185,0.91137,2.18742,1.15614,1.03897,0,0.000718246,0.000718246,0.000718246
10,901.44,0.8167,1.78205,1.02481,0.97495,0,0.42603,0.35814,0.33225,0.19677,0.42434,0.36706,0.31856,0.1787,0.94961,2.22779,1.13091,1.03949,0,0.000711902,0.000711902,0.000711902
11,984.865,0.80221,1.74298,0.98774,0.96781,0,0.56851,0.33507,0.35093,0.21605,0.58471,0.33132,0.32474,0.18813,0.91342,2.17995,1.11227,1.03453,0,0.000705558,0.000705558,0.000705558
12,1070.07,0.81226,1.73568,0.99254,0.96797,0,0.49848,0.36408,0.34365,0.21106,0.53148,0.33556,0.3345,0.18739,0.94229,2.16646,1.11567,1.04477,0,0.000699213,0.000699213,0.000699213
13,1156.01,0.7984,1.71065,0.97097,0.96234,0,0.44344,0.3835,0.33182,0.20411,0.43296,0.36504,0.31764,0.18181,0.94624,2.17257,1.1284,1.03764,0,0.000692869,0.000692869,0.000692869
14,1240.01,0.80033,1.69131,0.9435,0.9656,0,0.52202,0.37118,0.34613,0.20099,0.52872,0.32527,0.31518,0.17266,0.90439,2.19249,1.19789,1.03411,0,0.000686525,0.000686525,0.000686525
15,1323.37,0.78436,1.66105,0.91812,0.96273,0,0.56496,0.40454,0.37542,0.22274,0.43718,0.37945,0.34095,0.19098,0.91456,2.1282,1.07559,1.03644,0,0.000680181,0.000680181,0.000680181
16,1405.69,0.77988,1.6271,0.8879,0.95294,0,0.46339,0.38933,0.35359,0.21619,0.44865,0.3755,0.33812,0.19074,0.92046,2.15985,1.11073,1.03445,0,0.000673836,0.000673836,0.000673836
17,1491.38,0.78352,1.60906,0.8893,0.95022,0,0.34267,0.43549,0.38101,0.22558,0.37445,0.39131,0.37156,0.20327,0.90528,2.08903,1.10486,1.01858,0,0.000667492,0.000667492,0.000667492
18,1580.67,0.7661,1.57729,0.84807,0.94507,0,0.51476,0.43311,0.38438,0.23058,0.44629,0.3859,0.35076,0.19605,0.9128,2.1458,1.03609,1.0313,0,0.000661148,0.000661148,0.000661148
19,1666.51,0.76986,1.55781,0.83993,0.95025,0,0.34968,0.43456,0.37388,0.2256,0.32664,0.40456,0.34747,0.20312,0.92021,2.17735,1.09999,1.04373,0,0.000654804,0.000654804,0.000654804
20,1753.04,0.76566,1.55365,0.8364,0.94419,0,0.41116,0.44442,0.34306,0.21192,0.37842,0.38587,0.33365,0.18928,0.89765,2.19983,1.16888,1.02725,0,0.000648459,0.000648459,0.000648459
21,1834.78,0.74251,1.5173,0.81603,0.93249,0,0.42145,0.42695,0.37656,0.2303,0.41734,0.42929,0.35994,0.2078,0.90459,2.19998,1.08325,1.02419,0,0.000642115,0.000642115,0.000642115
22,1919.21,0.74165,1.49617,0.78668,0.93529,0,0.59586,0.36388,0.36947,0.22427,0.61961,0.33449,0.34541,0.19601,0.92809,2.22279,1.07326,1.03635,0,0.000635771,0.000635771,0.000635771
23,2007.75,0.74383,1.48407,0.76878,0.9333,0,0.47817,0.39609,0.38053,0.23603,0.47651,0.38901,0.36572,0.20929,0.89758,2.17093,1.0544,1.02041,0,0.000629427,0.000629427,0.000629427
24,2097.7,0.74207,1.47344,0.77211,0.93284,0,0.40874,0.39302,0.38496,0.22375,0.31566,0.39334,0.34382,0.19556,0.89628,2.20226,1.10995,1.02855,0,0.000623082,0.000623082,0.000623082
25,2187.23,0.73595,1.45354,0.75105,0.93409,0,0.48337,0.39855,0.37946,0.23561,0.45417,0.39292,0.3672,0.2088,0.92255,2.20992,1.08422,1.04313,0,0.000616738,0.000616738,0.000616738
26,2276.56,0.72748,1.43619,0.72082,0.92412,0,0.5338,0.40535,0.3942,0.24235,0.51678,0.3982,0.37436,0.21093,0.91453,2.18094,1.14093,1.03234,0,0.000610394,0.000610394,0.000610394
27,2365.42,0.72414,1.4233,0.7078,0.92179,0,0.48089,0.43787,0.39384,0.23619,0.4609,0.42162,0.37032,0.2044,0.9097,2.17195,1.08141,1.02828,0,0.00060405,0.00060405,0.00060405
28,2447.84,0.72249,1.43091,0.72138,0.92347,0,0.52354,0.37303,0.38637,0.23391,0.50766,0.35855,0.37067,0.21188,0.8962,2.19264,1.09931,1.01925,0,0.000597705,0.000597705,0.000597705
29,2532.9,0.72558,1.42168,0.70406,0.92571,0,0.36829,0.39407,0.3712,0.22555,0.38809,0.3755,0.35701,0.19887,0.93091,2.22943,1.10799,1.03106,0,0.000591361,0.000591361,0.000591361
30,2619.71,0.70617,1.38361,0.68373,0.91852,0,0.46512,0.39817,0.36251,0.22903,0.47068,0.39615,0.35658,0.20376,0.88792,2.34965,1.20011,1.02496,0,0.000585017,0.000585017,0.000585017
31,2704.67,0.70327,1.37305,0.67301,0.91693,0,0.56827,0.37435,0.37269,0.23011,0.57342,0.37381,0.35922,0.20394,0.89519,2.23767,1.09499,1.02297,0,0.000578672,0.000578672,0.000578672
