epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,165.469,0.96976,2.53969,2.14251,1.07734,0,0.53463,0.26765,0.20083,0.12467,0.52612,0.25517,0.18258,0.10487,0.91835,2.46446,1.48895,1.05386,0,0.000253047,0.000253047,0.000253047
2,293.496,0.89561,2.15236,1.36636,1.01303,0,0.62999,0.20843,0.22934,0.14381,0.61391,0.19994,0.21227,0.12131,0.92744,2.5557,1.42862,1.06344,0,0.000505178,0.000505178,0.000505178
3,406.391,0.90933,2.13275,1.28293,1.01401,0,0.55094,0.29121,0.25423,0.14562,0.50324,0.24864,0.22887,0.12416,0.95838,2.42784,1.35052,1.06611,0,0.000753079,0.000753079,0.000753079
4,529.944,0.91014,2.0717,1.22954,1.01153,0,0.48167,0.30163,0.26715,0.16472,0.5048,0.29643,0.25365,0.13827,0.95753,2.35296,1.24665,1.06409,0,0.000749967,0.000749967,0.000749967
5,657.184,0.88221,1.99663,1.19148,0.99958,0,0.34075,0.37553,0.27419,0.16945,0.33591,0.36096,0.26982,0.15259,0.91642,2.45387,1.60934,1.04403,0,0.000743623,0.000743623,0.000743623
6,783.785,0.87561,1.94175,1.12581,0.99044,0,0.38358,0.31012,0.26388,0.16124,0.36894,0.30195,0.25296,0.13779,0.93939,2.30073,1.23707,1.05252,0,0.000737279,0.000737279,0.000737279
7,910.146,0.88844,1.95915,1.13423,0.99936,0,0.49115,0.38244,0.32043,0.20061,0.49507,0.38831,0.31696,0.17933,0.90707,2.34054,1.19375,1.0399,0,0.000730935,0.000730935,0.000730935
8,1031.59,0.86921,1.86855,1.08527,0.98644,0,0.53328,0.39765,0.35277,0.21358,0.50343,0.37121,0.33172,0.18456,0.92636,2.2227,1.19238,1.05009,0,0.00072459,0.00072459,0.00072459
9,1149.3,0.8508,1.83429,1.04101,0.98298,0,0.49034,0.3994,0.34055,0.21164,0.49775,0.40477,0.3285,0.19033,0.91162,2.18379,1.18246,1.03653,0,0.000718246,0.000718246,0.000718246
10,1274.98,0.82923,1.82614,0.99884,0.97136,0,0.51115,0.36918,0.33485,0.2152,0.49591,0.34746,0.31188,0.18214,0.88363,2.32787,1.1663,1.0392,0,0.000711902,0.000711902,0.000711902
11,1408.39,0.83728,1.79578,0.9859,0.97227,0,0.53657,0.37829,0.32869,0.21207,0.52847,0.37726,0.31725,0.18946,0.91521,2.22411,1.1214,1.03569,0,0.000705558,0.000705558,0.000705558
12,1542.16,0.83093,1.76442,0.97889,0.96737,0,0.40955,0.35005,0.32161,0.19693,0.45578,0.33729,0.31612,0.17164,0.89174,2.19809,1.52865,1.0365,0,0.000699213,0.000699213,0.000699213
13,1678.63,0.83406,1.77245,0.96002,0.9707,0,0.39371,0.34868,0.32824,0.21065,0.51772,0.31872,0.31322,0.18473,0.91415,2.2305,1.15598,1.04321,0,0.000692869,0.000692869,0.000692869
14,1811.22,0.81161,1.68903,0.9249,0.95685,0,0.56953,0.36548,0.35739,0.21679,0.55554,0.35014,0.33489,0.188,0.90565,2.21198,1.10132,1.03136,0,0.000686525,0.000686525,0.000686525
15,1941.22,0.80065,1.67459,0.90691,0.95342,0,0.57797,0.38174,0.36318,0.22829,0.56083,0.36754,0.34712,0.19951,0.90289,2.19985,1.09101,1.02794,0,0.000680181,0.000680181,0.000680181
16,2052.06,0.79136,1.64733,0.87491,0.95006,0,0.41471,0.41869,0.35742,0.22621,0.41099,0.41722,0.34286,0.20196,0.88982,2.14679,1.0737,1.02436,0,0.000673836,0.000673836,0.000673836
17,2180.63,0.79487,1.62001,0.87402,0.94795,0,0.41997,0.43261,0.36832,0.22717,0.4238,0.40386,0.35117,0.19699,0.90994,2.22186,1.10101,1.03715,0,0.000667492,0.000667492,0.000667492
18,2292.56,0.79991,1.65162,0.86495,0.95033,0,0.55348,0.39081,0.3528,0.21158,0.54443,0.38594,0.34137,0.18697,0.90614,2.15301,1.07343,1.03643,0,0.000661148,0.000661148,0.000661148
19,2415.89,0.79991,1.61532,0.84525,0.95051,0,0.46951,0.36903,0.37487,0.23578,0.46149,0.35975,0.36146,0.21005,0.89187,2.19909,1.10428,1.03258,0,0.000654804,0.000654804,0.000654804
20,2523.68,0.80346,1.61936,0.8399,0.95235,0,0.59458,0.3576,0.37178,0.22398,0.57566,0.3413,0.34131,0.19605,0.91205,2.20501,1.11629,1.03715,0,0.000648459,0.000648459,0.000648459
21,2642,0.77761,1.54992,0.81879,0.9407,0,0.54317,0.4026,0.36338,0.22021,0.5372,0.3729,0.3408,0.1938,0.88338,2.20744,1.09108,1.02719,0,0.000642115,0.000642115,0.000642115
22,2769.07,0.77786,1.55656,0.80234,0.94561,0,0.62232,0.34621,0.34654,0.20977,0.62741,0.34444,0.34374,0.18526,0.88067,2.21637,1.10453,1.03012,0,0.000635771,0.000635771,0.000635771
23,2891.61,0.78738,1.55494,0.80123,0.94669,0,0.56947,0.37817,0.36115,0.22179,0.56747,0.37536,0.35468,0.20013,0.87119,2.25031,1.22328,1.01872,0,0.000629427,0.000629427,0.000629427
24,3016.22,0.76176,1.52177,0.76776,0.93393,0,0.69456,0.37264,0.35682,0.21655,0.61372,0.36942,0.33563,0.19121,0.88501,2.24883,1.1094,1.01343,0,0.000623082,0.000623082,0.000623082
25,3124.24,0.7634,1.4987,0.77218,0.93576,0,0.50123,0.39232,0.38107,0.23825,0.48399,0.3959,0.37333,0.21567,0.87863,2.18892,1.05495,1.02103,0,0.000616738,0.000616738,0.000616738
26,3249.43,0.7557,1.47958,0.76148,0.931,0,0.63109,0.36088,0.39117,0.24611,0.58413,0.37302,0.37039,0.21086,0.87297,2.24508,1.06785,1.01951,0,0.000610394,0.000610394,0.000610394
27,3370.36,0.75571,1.47277,0.73748,0.93097,0,0.45773,0.37067,0.36368,0.22525,0.44292,0.37086,0.3566,0.1969,0.88666,2.22399,1.18685,1.0269,0,0.00060405,0.00060405,0.00060405
28,3476.12,0.74235,1.45827,0.72851,0.92242,0,0.44195,0.42916,0.37666,0.22668,0.42907,0.42349,0.36435,0.20125,0.86266,2.21796,1.13545,1.01016,0,0.000597705,0.000597705,0.000597705
29,3598.11,0.7537,1.47207,0.73086,0.9275,0,0.47083,0.47216,0.39721,0.25452,0.46101,0.46059,0.38352,0.22486,0.90476,2.22871,1.11504,1.03072,0,0.000591361,0.000591361,0.000591361
30,3721.46,0.74277,1.44412,0.70923,0.92463,0,0.4096,0.36658,0.37019,0.23266,0.39811,0.35792,0.3555,0.20456,0.88312,2.29582,1.1412,1.02731,0,0.000585017,0.000585017,0.000585017
31,3846.35,0.7375,1.42129,0.69979,0.91779,0,0.57999,0.39028,0.35969,0.22024,0.54433,0.36849,0.33582,0.19116,0.8846,2.2976,1.17642,1.02708,0,0.000578672,0.000578672,0.000578672
32,3967.75,0.73165,1.40624,0.6963,0.91933,0,0.67006,0.39723,0.41894,0.25678,0.69768,0.40531,0.41254,0.23355,0.89524,2.23643,1.04532,1.03543,0,0.000572328,0.000572328,0.000572328
33,4090.5,0.73064,1.38593,0.68262,0.91827,0,0.60383,0.40803,0.3904,0.23476,0.61576,0.3788,0.37399,0.20684,0.8807,2.25421,1.14858,1.01229,0,0.000565984,0.000565984,0.000565984
34,4212.72,0.73074,1.38417,0.6722,0.91766,0,0.53874,0.40393,0.40187,0.24987,0.55619,0.39808,0.39695,0.22425,0.90977,2.20042,1.07173,1.02537,0,0.00055964,0.00055964,0.00055964
35,4335.8,0.73,1.37649,0.65679,0.91481,0,0.47285,0.39342,0.38354,0.23305,0.607,0.35312,0.36334,0.20646,0.90664,2.24063,1.09996,1.04444,0,0.000553296,0.000553296,0.000553296
36,4456.88,0.7228,1.37168,0.65639,0.91089,0,0.50347,0.39562,0.3806,0.23807,0.6113,0.38837,0.36082,0.20739,0.91137,2.28036,1.1447,1.03431,0,0.000546951,0.000546951,0.000546951
37,4565.37,0.73045,1.3784,0.6476,0.91764,0,0.63129,0.36317,0.36054,0.21894,0.62521,0.3533,0.34272,0.19453,0.89381,2.43555,1.194,1.03003,0,0.000540607,0.000540607,0.000540607
38,4692.61,0.70459,1.33057,0.62708,0.90936,0,0.36986,0.40767,0.36808,0.22359,0.3493,0.39832,0.34672,0.1948,0.91017,2.38116,1.14114,1.03976,0,0.000534263,0.000534263,0.000534263
