epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,154.435,2.80925,4.67865,3.93299,3.74993,0,0.00823,0.07753,0.04522,0.01404,0.00487,0.04586,0.01764,0.00321,2.56873,4.71558,4.34553,3.72018,0,0.000253047,0.000253047,0.000253047
2,262.177,1.81516,3.26755,2.30175,2.54662,0,0.53177,0.15597,0.14664,0.08524,0.51821,0.14808,0.13413,0.06786,1.5708,3.16822,2.35287,2.3262,0,0.000505178,0.000505178,0.000505178
3,366.932,1.46328,2.96941,1.99177,2.04258,0,0.30185,0.23621,0.16903,0.09722,0.29597,0.22648,0.16382,0.07747,1.41156,3.00521,2.01108,1.94487,0,0.000753079,0.000753079,0.000753079
4,472.448,1.33105,2.81958,1.81979,1.8249,0,0.20694,0.26646,0.23796,0.13931,0.36024,0.22504,0.22127,0.10661,1.23156,2.9619,1.70767,1.75792,0,0.000749967,0.000749967,0.000749967
5,572.183,1.22527,2.70572,1.70395,1.68815,0,0.42495,0.287,0.21452,0.12245,0.41809,0.26348,0.20188,0.09516,1.21095,2.85392,1.6961,1.70971,0,0.000743623,0.000743623,0.000743623
6,675.633,1.1938,2.63143,1.61808,1.62246,0,0.27503,0.28434,0.25497,0.14296,0.26009,0.26194,0.24228,0.11118,1.21503,2.82385,1.65483,1.69687,0,0.000737279,0.000737279,0.000737279
7,781.961,1.15881,2.6143,1.55426,1.58821,0,0.36366,0.32939,0.25312,0.14864,0.33488,0.29737,0.23352,0.11497,1.12251,2.74489,1.56156,1.58536,0,0.000730935,0.000730935,0.000730935
8,886.635,1.11835,2.48695,1.46755,1.52206,0,0.47664,0.35155,0.27466,0.15969,0.48261,0.32277,0.25549,0.1248,1.11672,2.72919,1.55789,1.5559,0,0.00072459,0.00072459,0.00072459
9,993.444,1.09796,2.43727,1.42376,1.50674,0,0.48493,0.35062,0.2761,0.16379,0.47856,0.34644,0.27165,0.12945,1.12486,2.60229,1.51769,1.58289,0,0.000718246,0.000718246,0.000718246
10,1099.68,1.05619,2.38487,1.3647,1.45813,0,0.49062,0.3732,0.29814,0.1831,0.48163,0.35923,0.28156,0.14571,1.07252,2.62129,1.50572,1.51346,0,0.000711902,0.000711902,0.000711902
11,1204.98,1.06034,2.30399,1.34944,1.45258,0,0.60322,0.31923,0.32478,0.19715,0.62356,0.29911,0.31249,0.15819,1.07507,2.57713,1.44054,1.54592,0,0.000705558,0.000705558,0.000705558
12,1308.58,1.04118,2.27089,1.32152,1.42842,0,0.63585,0.32053,0.31343,0.19554,0.64809,0.32846,0.31584,0.16448,1.05682,2.51377,1.48135,1.51167,0,0.000699213,0.000699213,0.000699213
13,1413.3,1.04072,2.22866,1.27888,1.42309,0,0.54992,0.32351,0.33783,0.20646,0.54144,0.32123,0.32391,0.16791,1.0761,2.50523,1.40135,1.51663,0,0.000692869,0.000692869,0.000692869
14,1517.5,1.00823,2.14374,1.23832,1.38795,0,0.59485,0.309,0.32924,0.19481,0.59372,0.30616,0.3218,0.16039,1.08673,2.44549,1.37664,1.51781,0,0.000686525,0.000686525,0.000686525
15,1621.93,0.98635,2.12154,1.18705,1.36502,0,0.57625,0.35538,0.33995,0.20012,0.5961,0.34843,0.33641,0.16788,1.04878,2.48107,1.36651,1.4896,0,0.000680181,0.000680181,0.000680181
16,1726.67,0.98594,2.08267,1.17007,1.36189,0,0.5586,0.35455,0.3333,0.20638,0.57023,0.34801,0.32082,0.17,1.05842,2.4811,1.37542,1.4782,0,0.000673836,0.000673836,0.000673836
17,1828.45,0.97981,2.02817,1.16415,1.35725,0,0.61265,0.35898,0.36965,0.22657,0.6763,0.36469,0.36108,0.1946,1.04819,2.39514,1.31725,1.48684,0,0.000667492,0.000667492,0.000667492
18,1932.56,0.98255,2.04279,1.13786,1.35417,0,0.60634,0.35178,0.35873,0.22172,0.68029,0.33189,0.34694,0.18566,1.03886,2.4104,1.30785,1.47817,0,0.000661148,0.000661148,0.000661148
19,2038.61,0.97723,2.01775,1.13253,1.34185,0,0.68521,0.39183,0.38998,0.22965,0.64028,0.37871,0.36331,0.19888,1.07038,2.40717,1.36116,1.50313,0,0.000654804,0.000654804,0.000654804
