epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,210.59,1.01934,2.61135,2.03873,1.13379,0,0.39663,0.2903,0.21314,0.1316,0.58548,0.24402,0.20797,0.11657,0.95285,2.31244,1.44822,1.09223,0,0.000255394,0.000255394,0.000255394
2,385.715,0.99185,2.28424,1.41194,1.09202,0,0.53885,0.30437,0.24658,0.14656,0.33028,0.31473,0.23486,0.12567,0.91651,2.29336,1.35204,1.10077,0,0.000507506,0.000507506,0.000507506
3,557.706,0.98286,2.19417,1.31429,1.08533,0,0.57805,0.33668,0.31993,0.19472,0.5442,0.3245,0.30165,0.16789,0.92965,2.25316,1.26289,1.09053,0,0.000755388,0.000755388,0.000755388
4,731.229,0.9642,2.12513,1.23352,1.07098,0,0.55879,0.34653,0.33238,0.20881,0.55377,0.34513,0.3261,0.19211,0.93619,2.21139,1.22662,1.08823,0,0.000749967,0.000749967,0.000749967
5,909.073,0.95458,2.0435,1.19445,1.06341,0,0.39932,0.35011,0.33317,0.20701,0.35511,0.34822,0.31238,0.18158,0.95087,2.19751,1.25708,1.09454,0,0.000743623,0.000743623,0.000743623
6,1083.9,0.92869,1.96872,1.09879,1.03941,0,0.4427,0.37187,0.35309,0.2186,0.43624,0.36028,0.33623,0.18868,0.91737,2.19279,1.16982,1.07024,0,0.000737279,0.000737279,0.000737279
7,1248.03,0.92407,1.92205,1.06528,1.03689,0,0.63737,0.37192,0.38659,0.23664,0.6274,0.35263,0.36212,0.20503,0.95301,2.24144,1.18605,1.09483,0,0.000730935,0.000730935,0.000730935
8,1421.38,0.89667,1.87937,1.00678,1.02509,0,0.43646,0.39323,0.35978,0.21825,0.46932,0.37622,0.34664,0.19047,0.95386,2.2291,1.16884,1.08779,0,0.00072459,0.00072459,0.00072459
9,1594.58,0.88962,1.82971,0.97888,1.02118,0,0.39357,0.39623,0.37547,0.22652,0.37945,0.39237,0.36155,0.20588,0.96277,2.16476,1.14613,1.08283,0,0.000718246,0.000718246,0.000718246
10,1770.28,0.87061,1.76577,0.92421,1.00915,0,0.49299,0.43966,0.40405,0.25388,0.47595,0.41802,0.38258,0.22597,0.94846,2.18569,1.13988,1.07685,0,0.000711902,0.000711902,0.000711902
11,1940.14,0.86342,1.73792,0.90578,1.00426,0,0.41183,0.37038,0.3939,0.23885,0.39518,0.36419,0.37343,0.20819,0.93862,2.18578,1.09727,1.08049,0,0.000705558,0.000705558,0.000705558
12,2114.55,0.84847,1.69794,0.87149,0.9946,0,0.53954,0.3696,0.39224,0.24304,0.53477,0.36324,0.37763,0.21669,0.94142,2.16618,1.06811,1.08057,0,0.000699213,0.000699213,0.000699213
13,2293.21,0.84391,1.67749,0.84131,0.99183,0,0.38236,0.42665,0.40073,0.24949,0.36933,0.41635,0.38527,0.2123,0.92286,2.23847,1.11066,1.07879,0,0.000692869,0.000692869,0.000692869
14,2465.54,0.82909,1.63266,0.80704,0.98782,0,0.50061,0.41652,0.39949,0.24728,0.48764,0.39207,0.37545,0.21599,0.92809,2.21516,1.08587,1.07633,0,0.000686525,0.000686525,0.000686525
15,2636.73,0.81984,1.59509,0.79704,0.98105,0,0.3729,0.43815,0.40807,0.24864,0.36166,0.42582,0.39164,0.21943,0.94239,2.22142,1.10197,1.07948,0,0.000680181,0.000680181,0.000680181
16,2814.56,0.81782,1.59663,0.77552,0.9775,0,0.58559,0.43581,0.39945,0.24965,0.58385,0.40168,0.38228,0.2179,0.93022,2.2139,1.0791,1.06958,0,0.000673836,0.000673836,0.000673836
17,2991.46,0.80636,1.54256,0.75375,0.97445,0,0.42824,0.37951,0.39339,0.24321,0.42889,0.37802,0.38037,0.21503,0.93558,2.24057,1.07376,1.08324,0,0.000667492,0.000667492,0.000667492
18,3169.61,0.7961,1.52484,0.73093,0.96462,0,0.39644,0.45559,0.44224,0.25576,0.41479,0.42071,0.41864,0.22484,0.93826,2.2242,1.05638,1.09218,0,0.000661148,0.000661148,0.000661148
19,3343.75,0.78992,1.50121,0.71195,0.96016,0,0.37304,0.42279,0.40414,0.24189,0.37079,0.41021,0.38546,0.2172,0.95712,2.25803,1.1842,1.10129,0,0.000654804,0.000654804,0.000654804
20,3529.46,0.77484,1.49363,0.69869,0.95976,0,0.40065,0.42859,0.39029,0.24082,0.38553,0.41289,0.36924,0.20984,0.96676,2.30074,1.11025,1.10365,0,0.000648459,0.000648459,0.000648459
21,3700.03,0.77188,1.4627,0.68276,0.95507,0,0.5046,0.39888,0.38895,0.24012,0.63955,0.36252,0.37937,0.22095,0.93299,2.25967,1.11602,1.09248,0,0.000642115,0.000642115,0.000642115
22,3866.32,0.75808,1.43662,0.66724,0.95086,0,0.40087,0.37298,0.3944,0.24214,0.39927,0.37091,0.38048,0.21535,0.92669,2.28493,1.16656,1.07616,0,0.000635771,0.000635771,0.000635771
23,4036.27,0.75154,1.40729,0.65009,0.94244,0,0.37798,0.41433,0.38374,0.23589,0.36815,0.40441,0.36886,0.21122,0.94312,2.28344,1.16603,1.09538,0,0.000629427,0.000629427,0.000629427
24,4208.38,0.74615,1.39551,0.62717,0.93696,0,0.40193,0.41956,0.39958,0.24636,0.39618,0.41092,0.38446,0.21939,0.95377,2.29272,1.18486,1.1031,0,0.000623082,0.000623082,0.000623082
25,4384.45,0.73772,1.36732,0.61498,0.93448,0,0.41034,0.43892,0.3979,0.24293,0.40183,0.40989,0.38197,0.21455,0.96851,2.3069,1.15641,1.10441,0,0.000616738,0.000616738,0.000616738
26,4568.54,0.73733,1.377,0.61636,0.93553,0,0.42121,0.39108,0.40626,0.25334,0.42557,0.37751,0.39066,0.22374,0.95115,2.32905,1.14615,1.10182,0,0.000610394,0.000610394,0.000610394
27,4752.02,0.72174,1.34283,0.60238,0.93081,0,0.38779,0.42801,0.3822,0.24142,0.37226,0.41873,0.37391,0.21049,0.95262,2.29937,1.14035,1.10382,0,0.00060405,0.00060405,0.00060405
28,4925.57,0.71952,1.31935,0.57356,0.92976,0,0.51499,0.38598,0.37065,0.23452,0.50175,0.37698,0.35609,0.2056,0.94624,2.36923,1.24534,1.10807,0,0.000597705,0.000597705,0.000597705
29,5098.86,0.71484,1.31093,0.5778,0.92639,0,0.48643,0.42307,0.38545,0.23856,0.4837,0.41259,0.37208,0.2151,0.97303,2.40424,1.19151,1.121,0,0.000591361,0.000591361,0.000591361
30,5278.07,0.69732,1.28241,0.55592,0.92086,0,0.48163,0.38242,0.37673,0.23572,0.5047,0.3513,0.35652,0.20884,0.97334,2.44298,1.2526,1.14387,0,0.000585017,0.000585017,0.000585017
31,5459.02,0.70117,1.28973,0.55806,0.92164,0,0.66128,0.39184,0.3925,0.2442,0.65485,0.39112,0.38527,0.21782,0.93289,2.39858,1.15738,1.07984,0,0.000578672,0.000578672,0.000578672
32,5640.77,0.69379,1.26159,0.54951,0.91908,0,0.38907,0.40323,0.38147,0.23335,0.37195,0.38149,0.36025,0.20877,0.93909,2.38568,1.19133,1.09352,0,0.000572328,0.000572328,0.000572328
