epoch,train_loss,seg,cls,val_acc,val_fg_mask_iou
1,0.9389781281112475,0.16437346628384958,0.7746046604259221,0.7076366922729327,0.7924501717529234
2,0.7534865345506423,0.16015560586017427,0.5933309286545327,0.6963398102123813,0.7912316102038031
3,0.6772108309426108,0.15723692613782606,0.5199739043256477,0.7112516945323091,0.7932337200846326
4,0.5876354506161435,0.1519202418038412,0.43571520877037784,0.7049254405784003,0.7880651350403456
5,0.514310538337545,0.1495223605699861,0.3647881782107606,0.7126073203795752,0.7963136427731955
6,0.4524097418430534,0.1470760954034865,0.30533364655935114,0.7117035698147312,0.7907894493026608
7,0.3958022043923473,0.14430582949777893,0.2514963746130754,0.7126073203795752,0.7950443245793403
8,0.35250937850049835,0.14158822884753203,0.21092114886538488,0.7094441934026209,0.7887663135544161
9,0.3123156754150268,0.1395489268448096,0.17276674823182667,0.7220967013104383,0.7937115412312069
10,0.29758452098229693,0.13597989273991232,0.16160462875446227,0.718481699051062,0.7908249827359216
11,0.2697742854954729,0.135498177895017,0.13427610758099093,0.7004066877541798,0.791954056707836
12,0.25205524101661714,0.1328295102983809,0.11922573097801836,0.7293267058291911,0.7954198175634601
13,0.2472335994363406,0.13021329139925275,0.11702030785890877,0.7261635788522368,0.7876673672692461
14,0.23238173494912037,0.12897128323123003,0.10341045157190329,0.7126073203795752,0.7873328615190158
15,0.2313642994383907,0.1289997095619463,0.1023645894280021,0.718481699051062,0.7908241374514089
16,0.21961486764803193,0.1259041370111263,0.09371073040837972,0.7035698147311342,0.7894310442424659
17,0.21518428744658397,0.12470738162133854,0.09047690607679235,0.7211929507455942,0.7887090090738391
18,0.19488807894600932,0.122143169409832,0.0727449096866563,0.7311342069588793,0.7919282595446533
19,0.20113645559865562,0.12130681681671326,0.07982963899624387,0.7198373248983281,0.7947175518372754
20,0.19198714814768728,0.11983320408671423,0.07215394435519311,0.718481699051062,0.7932487269063905
21,0.19996680955363624,0.11952990672021051,0.08043690288293032,0.6904654315408947,0.7870727716073187
22,0.18810978335391287,0.1184646122253401,0.06964517079879173,0.7175779484862178,0.7899259045196184
23,0.18117167782697263,0.11602480419075949,0.0651468738326406,0.7220967013104383,0.7939098019728579
24,0.17282006095412075,0.11429266891535073,0.058527392219475824,0.7094441934026209,0.7961289855367516
25,0.17747987211469285,0.11431356318223132,0.06316630885591192,0.7121554450971532,0.7967979695498699
26,0.17421206996036495,0.11319331993076387,0.06101874980341472,0.7270673294170809,0.7920026473110071
27,0.17055026175891472,0.11288412620232612,0.057666135604689465,0.7266154541346589,0.7931599747618007
28,0.16493062778013695,0.11026512274452728,0.05466550502859107,0.7297785811116132,0.7879378755659913
29,0.16307669128156552,0.10977819642213762,0.05329849500391764,0.7144148215092635,0.7894778197063156
30,0.16187134191058455,0.10931628484913773,0.052555057185067915,0.7117035698147312,0.7917397880008351
